epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,790.068,1.2396,2.99759,1.0253,0.00372,0.32332,0.07276,0.05029,1.56999,3.93401,1.32727,0.000362776,0.000362776,0.000362776
2,1543.71,1.19169,1.63915,1.00825,0.78339,0.15275,0.20062,0.13045,1.74809,3.08644,1.36361,0.000708916,0.000708916,0.000708916
3,2297.68,1.16394,1.46691,1.00338,0.5819,0.42033,0.3091,0.17559,1.62936,2.27062,1.43322,0.00103061,0.00103061,0.00103061
4,3050.92,1.10469,1.30405,0.98379,0.48056,0.43744,0.35516,0.2135,1.56265,2.1897,1.42407,0.00100101,0.00100101,0.00100101
5,3806.75,1.08237,1.1834,0.97875,0.52101,0.46188,0.37493,0.22976,1.48203,2.11227,1.3229,0.000964348,0.000964348,0.000964348
6,4567.56,1.04439,1.09267,0.96828,0.5984,0.50731,0.42131,0.26373,1.44541,1.97328,1.31508,0.000927685,0.000927685,0.000927685
7,5326.04,1.06387,1.03613,0.97075,0.55072,0.49748,0.43577,0.26136,1.4036,1.89333,1.26786,0.000891022,0.000891022,0.000891022
8,6080.32,0.99189,0.94297,0.95387,0.6181,0.51468,0.4475,0.29018,1.39307,1.79818,1.29153,0.000854359,0.000854359,0.000854359
9,6819.28,1.02561,0.93893,0.95334,0.59495,0.6046,0.47356,0.28524,1.38774,1.74406,1.23818,0.000817696,0.000817696,0.000817696
10,7562.86,1.01242,0.8822,0.95686,0.6063,0.55247,0.46277,0.29125,1.38038,1.69334,1.24944,0.000781033,0.000781033,0.000781033
11,8295.41,0.93407,0.83709,0.93381,0.60107,0.57407,0.46429,0.29188,1.30073,1.6786,1.21366,0.00074437,0.00074437,0.00074437
12,9034.19,0.94673,0.80136,0.93197,0.58806,0.57041,0.46965,0.30175,1.32303,1.68927,1.25183,0.000707707,0.000707707,0.000707707
13,9773.3,0.93071,0.77163,0.92577,0.60131,0.60427,0.48907,0.31014,1.3076,1.58011,1.22299,0.000671044,0.000671044,0.000671044
14,10562.9,0.91477,0.74927,0.92346,0.61619,0.62057,0.49274,0.31585,1.29195,1.57531,1.22478,0.000634381,0.000634381,0.000634381
15,11340.3,0.88568,0.72069,0.92074,0.58308,0.63867,0.49301,0.32289,1.24121,1.6065,1.21365,0.000597718,0.000597718,0.000597718
16,12246.6,0.87425,0.70548,0.91088,0.61418,0.62331,0.50198,0.33036,1.17565,1.56891,1.1778,0.000561055,0.000561055,0.000561055
17,13177.5,0.85297,0.66632,0.90526,0.59512,0.6492,0.5055,0.34112,1.17788,1.53605,1.16556,0.000524392,0.000524392,0.000524392
18,14103.3,0.85249,0.6661,0.90708,0.66268,0.63633,0.51842,0.3373,1.20013,1.51475,1.19432,0.000487729,0.000487729,0.000487729
19,14981,0.84627,0.66611,0.91185,0.65241,0.62591,0.5105,0.33845,1.21293,1.52956,1.18727,0.000451066,0.000451066,0.000451066
20,15837.2,0.8429,0.64774,0.90241,0.67131,0.64498,0.5258,0.35428,1.16614,1.49532,1.16886,0.000414403,0.000414403,0.000414403
21,16760.5,0.85441,0.69088,0.89334,0.63966,0.63345,0.51179,0.33568,1.16253,1.49952,1.17571,0.00037774,0.00037774,0.00037774
22,17663.7,0.82073,0.65425,0.89399,0.61479,0.64529,0.50441,0.34129,1.10972,1.48457,1.1352,0.000341077,0.000341077,0.000341077
23,18459.6,0.81542,0.64271,0.88794,0.63149,0.65768,0.51716,0.34964,1.12825,1.45147,1.16692,0.000304414,0.000304414,0.000304414
24,19224.6,0.79741,0.61471,0.88575,0.65902,0.63715,0.52878,0.36086,1.09352,1.46854,1.14474,0.000267751,0.000267751,0.000267751
25,19941.7,0.79332,0.60536,0.87728,0.6622,0.65441,0.53372,0.36355,1.08193,1.45657,1.13809,0.000231088,0.000231088,0.000231088
26,20664.5,0.76565,0.59259,0.87707,0.67537,0.64228,0.53691,0.36641,1.08239,1.47435,1.14249,0.000194425,0.000194425,0.000194425
27,21372,0.75733,0.57849,0.87197,0.65302,0.67825,0.54045,0.37228,1.06472,1.41418,1.13484,0.000157762,0.000157762,0.000157762
28,22100.1,0.74399,0.5689,0.86936,0.65196,0.68057,0.54682,0.37951,1.0441,1.42377,1.11703,0.000121099,0.000121099,0.000121099
29,22802,0.73442,0.54926,0.87335,0.66556,0.67784,0.5494,0.38008,1.04232,1.41409,1.12246,8.4436e-05,8.4436e-05,8.4436e-05
30,23506.2,0.71682,0.54383,0.87071,0.67411,0.67558,0.5508,0.38478,1.03099,1.42411,1.12205,4.7773e-05,4.7773e-05,4.7773e-05
